Energy,TotalEfficiency
520.16,3.34814315049743e-14
545.115907203907,3.01806387213665e-13
570.071814407814,1.92915418931908e-12
595.027721611722,9.32591903029536e-12
619.983628815629,3.58609471356469e-11
644.939536019536,1.14155743470605e-10
669.895443223443,3.10569655873354e-10
694.85135042735,7.40868202001288e-10
719.807257631258,1.58223664397013e-09
744.763164835165,3.07695706186421e-09
769.719072039072,5.52521080932402e-09
794.674979242979,9.26751325302718e-09
819.630886446887,1.4659903821234e-08
844.586793650794,2.20463629885562e-08
869.542700854701,3.17328836761815e-08
894.498608058608,4.39665757410718e-08
919.454515262515,5.89216942398284e-08
944.410422466422,7.66930395635525e-08
969.36632967033,9.72960710397069e-08
994.322236874237,1.20672404244962e-07
1019.27814407814,1.46699091852232e-07
1044.23405128205,1.75200117975949e-07
1069.18995848596,2.05958751734752e-07
1094.14586568987,2.38729707565933e-07
1119.10177289377,2.73250375497243e-07
1144.05768009768,3.09250669719244e-07
1169.01358730159,3.46461276666703e-07
1193.96949450549,3.84620258532401e-07
1218.9254017094,4.23478088445783e-07
1243.88130891331,4.62801268017242e-07
1268.83721611722,5.02374716710311e-07
1293.79312332112,5.42003135319541e-07
1318.74903052503,5.8151154110982e-07
1343.70493772894,6.20745156619655e-07
1368.66084493285,6.59568812772162e-07
1393.61675213675,6.97866003327578e-07
1418.57265934066,7.35537704210445e-07
1443.52856654457,7.72501049302359e-07
1468.48447374847,8.08687934693297e-07
1493.44038095238,8.44043606458899e-07
1518.39628815629,8.78531187684401e-07
1543.3521953602,9.12132068838735e-07
1568.3081025641,9.4482123482768e-07
1593.26400976801,9.76581224107752e-07
1618.21991697192,1.00740186807737e-06
1643.17582417582,1.03727932465528e-06
1668.13173137973,1.06621519576836e-06
1693.08763858364,1.09421572791807e-06
1718.04354578755,1.12129109315642e-06
1742.99945299145,1.14745474654121e-06
1767.95536019536,1.17272285532946e-06
1792.91126739927,1.19711379470514e-06
1817.86717460317,1.22064770463625e-06
1842.82308180708,1.24334610244871e-06
1867.77898901099,1.26523154583362e-06
1892.7348962149,1.28632734123635e-06
1917.6908034188,1.30665729285753e-06
1942.64671062271,1.32624548782889e-06
1967.60261782662,1.34511611346768e-06
1992.55852503053,1.36329330286293e-06
2017.51443223443,1.38080280991973e-06
2042.47033943834,1.39767308364598e-06
2067.42624664225,1.41392693801642e-06
2092.38215384615,1.42958645875021e-06
2117.33806105006,1.44467328167086e-06
2142.29396825397,1.45920854461236e-06
2167.24987545788,1.47321284993459e-06
2192.20578266178,1.48670623619011e-06
2217.16168986569,1.49970815765337e-06
