Energy,IncidentSpectraPerArea
520.16,0
545.115907203907,0
570.071814407814,0
595.027721611722,0
619.983628815629,0
644.939536019536,0
669.895443223443,0
694.85135042735,0
719.807257631258,0
744.763164835165,0
769.719072039072,0
794.674979242979,0
819.630886446887,0
844.586793650794,0
869.542700854701,0
894.498608058608,0
919.454515262515,0
944.410422466422,0
969.36632967033,0
994.322236874237,0
1019.27814407814,0
1044.23405128205,0
1069.18995848596,0
1094.14586568987,0
1119.10177289377,0
1144.05768009768,0
1169.01358730159,0
1193.96949450549,0
1218.9254017094,0
1243.88130891331,0
1268.83721611722,0
1293.79312332112,0
1318.74903052503,0
1343.70493772894,0
1368.66084493285,0
1393.61675213675,0
1418.57265934066,0
1443.52856654457,0
1468.48447374847,0
1493.44038095238,0
1518.39628815629,0
1543.3521953602,0
1568.3081025641,0
1593.26400976801,0
1618.21991697192,0
1643.17582417582,0
1668.13173137973,0
1693.08763858364,0
1718.04354578755,0
1742.99945299145,0
1767.95536019536,0
1792.91126739927,0
1817.86717460317,0
1842.82308180708,0
1867.77898901099,0
1892.7348962149,0
1917.6908034188,0
1942.64671062271,0
1967.60261782662,0
1992.55852503053,0
2017.51443223443,0
2042.47033943834,0
2067.42624664225,0
2092.38215384615,0
2117.33806105006,0
2142.29396825397,0
2167.24987545788,0
2192.20578266178,0
2217.16168986569,0
2242.1175970696,0
2267.0735042735,0
2292.02941147741,0
2316.98531868132,0
2341.94122588523,0
2366.89713308913,0
2391.85304029304,0
2416.80894749695,0
2441.76485470085,0
2466.72076190476,0
2491.67666910867,0
2516.63257631258,0
2541.58848351648,0
2566.54439072039,0
2591.5002979243,0
2616.45620512821,0
2641.41211233211,0
2666.36801953602,0
2691.32392673993,0
2716.27983394383,0
2741.23574114774,0
2766.19164835165,0
2791.14755555556,0
2816.10346275946,0
2841.05936996337,0
2866.01527716728,0
2890.97118437118,0
2915.92709157509,0
2940.882998779,0
2965.83890598291,0
2990.79481318681,0
3015.75072039072,0
3040.70662759463,0
3065.66253479854,0
3090.61844200244,0
3115.57434920635,0
3140.53025641026,0
3165.48616361416,0
3190.44207081807,0
3215.39797802198,0
3240.35388522589,0
3265.30979242979,0
3290.2656996337,0
3315.22160683761,0
3340.17751404151,0
3365.13342124542,0
3390.08932844933,0
3415.04523565324,0
3440.00114285714,0
3464.95705006105,0
3489.91295726496,0
3514.86886446886,0
3539.82477167277,0
3564.78067887668,0
3589.73658608059,0
3614.69249328449,0
3639.6484004884,0
3664.60430769231,0
3689.56021489621,0
3714.51612210012,0
3739.47202930403,0
3764.42793650794,0
3789.38384371184,0
3814.33975091575,0
3839.29565811966,0
3864.25156532357,0
3889.20747252747,0
3914.16337973138,0
3939.11928693529,0
3964.07519413919,0
3989.0311013431,0
4013.98700854701,0
4038.94291575092,0
4063.89882295482,0
4088.85473015873,0
4113.81063736264,0
4138.76654456655,0
4163.72245177045,0
4188.67835897436,0
4213.63426617827,0
4238.59017338217,0
4263.54608058608,0
4288.50198778999,0
4313.4578949939,0
4338.4138021978,0
4363.36970940171,0
4388.32561660562,0
4413.28152380952,0
4438.23743101343,0
4463.19333821734,0
4488.14924542125,0
4513.10515262515,277.556182755729
4538.06105982906,442.388957624363
4563.01696703297,374.739804600859
4587.97287423687,456.984595774725
4612.92878144078,411.86088742313
4637.88468864469,419.175741254693
4662.8405958486,463.899668836865
4687.7965030525,553.467661903407
4712.75241025641,545.777144531722
4737.70831746032,500.729220033409
4762.66422466423,560.310344982848
4787.62013186813,649.724699728356
4812.57603907204,522.581849645542
4837.53194627595,604.492308048434
4862.48785347985,716.192397119884
4887.44376068376,619.002538282974
4912.39966788767,723.177666578826
4937.35557509158,775.119272541047
4962.31148229548,707.821320710626
4987.26738949939,625.672403041562
5012.2232967033,819.088496269209
5037.1792039072,759.296342821219
5062.13511111111,915.35959157358
5087.09101831502,915.102344822284
5112.04692551893,974.352662530933
5137.00283272283,1070.75482359436
5161.95873992674,966.397640694596
5186.91464713065,1047.89756117704
5211.87055433455,1211.09086928655
5236.82646153846,1173.64776356498
5261.78236874237,1203.06578565935
5286.73827594628,1314.14524003156
5311.69418315018,1217.33948630642
5336.65009035409,1194.79522683995
5361.605997558,1216.78299524398
5386.5619047619,1350.03258525588
5411.51781196581,1312.65793327544
5436.47371916972,1586.71648156609
5461.42962637363,1712.40536425479
5486.38553357753,1793.57999231231
5511.34144078144,1496.8188622451
5536.29734798535,1666.919249248
5561.25325518926,1792.51671087393
5586.20916239316,1755.14742056113
5611.16506959707,1865.88456476084
5636.12097680098,1754.49886649536
5661.07688400488,2020.64217441471
5686.03279120879,1938.88277396834
5710.9886984127,1886.75443633367
5735.94460561661,2145.35689273959
5760.90051282051,2411.27581324824
5785.85642002442,2425.6728540137
5810.81232722833,2380.91932172512
5835.76823443223,2454.4750223243
5860.72414163614,2550.19053441026
5885.68004884005,2401.98973188818
5910.63595604396,2586.37388306281
5935.59186324786,2615.55104948834
5960.54777045177,2770.31440802613
5985.50367765568,2939.81413303867
6010.45958485959,3160.9723673877
6035.41549206349,3020.23942722181
6060.3713992674,3005.06988184866
6085.32730647131,3071.11833837142
6110.28321367521,3151.91928183719
6135.23912087912,3402.46018317854
6160.19502808303,3232.30296124496
6185.15093528694,3637.73943479068
6210.10684249084,3578.27743471661
6235.06274969475,3983.58881493921
6260.01865689866,4056.88565272907
6284.97456410256,3945.79066421513
6309.93047130647,3886.34985666614
6334.88637851038,3959.6555947259
6359.84228571429,4143.54549546447
6384.79819291819,3936.68380282561
6409.7541001221,4444.88851664965
